Rating,Entity Name,State,County,City,Sector,Entity Type,Region
42,"Cape Girardeau County Clerk, Cape Girardeau, MO",MO,Cape Girardeau County,Jackson,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 7
68,Cape Fear Public Utility Authority,NC,New Hanover County,Wilmington,Water and WasteWater Systems,Local Tribal Territory,Region 4
23,Cape Elizabeth School Department,ME,Cumberland County,Cape Elizabeth,Government Facilities,Local Tribal Territory,Region 1
21,"Cape Elizabeth Municipal Registrar, Cumberland, ME",ME,Cumberland County,Cape Elizabeth,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
21,"Cape Elizabeth Municipal Clerk, Cumberland, ME",ME,Cumberland County,Cape Elizabeth,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
41,Cape Cod Community College,MA,Barnstable County,Barnstable,Government Facilities,Local Tribal Territory,Region 1
91,Capabilities Parternship Inc,NY,Rockland County,West Nyack,Healthcare and Public Health,Private CI Entity,Region 2
39,Canyon County ID,ID,Canyon County,Caldwell,Government Facilities,Local Tribal Territory,Region 10
44,"Canyon County Clerk, Canyon, ID",ID,Canyon County,Caldwell,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 10
84,Canvas Credit Union CO,CO,Douglas County,Lone Tree,Financial Services,Private CI Entity,Region 8
5,Canton Water Department,OH,Stark County,Canton,Water and WasteWater Systems,Local Tribal Territory,Region 5
46,"Canton Township, MI",MI,Wayne County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
40,"Canton Town Clerk, Norfolk, MA",MA,Norfolk County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
21,"Canton Town Clerk, Hartford, CT",CT,Hartford County,,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
54,"Canton Town Clerk, Buffalo, WI",WI,Buffalo County,Durand,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
21,"Canton Registrar of Voters, Hartford, CT",CT,Hartford County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
25,"Canton Municipal Registrar, Oxford, ME",ME,Oxford County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
25,"Canton Municipal Clerk, Oxford, ME",ME,Oxford County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
63,"Canton City School District, OH",OH,Stark County,Canton,Government Facilities,Local Tribal Territory,Region 5
32,"Canton Charter Township Election Commission, Wayne, MI",MI,Wayne County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
32,"Canton Charter Township Clerk, Wayne, MI",MI,Wayne County,Canton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
55,"Canterbury Town Clerk, Windham, CT",CT,Windham County,,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
47,"Canterbury Town Clerk, Merrimack, NH",NH,Merrimack County,Canterbury,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
55,"Canterbury Registrar of Voters, Windham, CT",CT,Windham County,Canterbury,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
99,Candor Central School District,NY,Tioga County,Candor,Government Facilities,Local Tribal Territory,Region 2
60,"Candler County Board of Elections and Registrar, Candler, GA",GA,Candler County,Metter,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
29,"Candia Town Clerk, Rockingham, NH",NH,Rockingham County,Candia,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
74,Cancer Care Northwest,WA,Spokane County,Spokane Valley,Healthcare and Public Health,Private CI Entity,Region 10
72,Canby Utility,OR,Clackamas County,Canby,Energy,Local Tribal Territory,Region 10
60,Canal Corporation,NY,Albany County,Albany,"Government Facilities, Transportation Systems",State,Region 2
53,"Canadian County Election Board, Canadian, OK",OK,Canadian County,El Reno,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
71,"Canaan Town Treasurer, Essex, VT",VT,Essex County,Canaan,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
59,"Canaan Town Clerk, Litchfield, CT",CT,Litchfield County,,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
56,"Canaan Town Clerk, Grafton, NH",NH,Grafton County,Canaan,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
71,"Canaan Town Clerk, Essex, VT",VT,Essex County,Canaan,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
59,"Canaan Registrar of Voters, Litchfield, CT",CT,Litchfield County,Canaan,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
56,"Canaan Municipal Registrar, Somerset, ME",ME,Somerset County,Canaan,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
56,"Canaan Municipal Clerk, Somerset, ME",ME,Somerset County,Canaan,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
64,Camrosa Water District,CA,Ventura County,Camarillo,Water and WasteWater Systems,Local Tribal Territory,Region 9
56,Campus Federal Credit Union,LA,East Baton Rouge Parish,Baton Rouge,Financial Services,Private CI Entity,Region 6
60,"Campton Town Clerk, Grafton, NH",NH,Grafton County,Campton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
5,Campbellsport School District,WI,Fond du Lac County,Campbellsport,Government Facilities,Local Tribal Territory,Region 5
57,Campbell and Co Advertising Agency,OK,Oklahoma County,Oklahoma City,Communications,Private CI Entity,Region 6
52,"Campbell Township Election Commission, Ionia, MI",MI,Ionia County,Clarksville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
52,"Campbell Township Clerk, Ionia, MI",MI,Ionia County,Clarksville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
67,"Campbell Town Clerk, La Crosse, WI",WI,La Crosse County,La Crosse,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
48,"Campbell County Registrar, Campbell, VA",VA,Campbell County,Rustburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 3
48,"Campbell County Electoral Board, Campbell, VA",VA,Campbell County,,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 3
81,"Campbell County Elections Administrator, Campbell, TN",TN,Campbell County,Jacksboro,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
58,"Campbell County Clerk, Campbell, WY",WY,Campbell County,Gillette,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 8
58,"Campbell County Clerk, Campbell, KY",KY,Campbell County,Newport,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
79,"Camp Douglas Village Clerk, Juneau, WI",WI,Juneau County,Camp Douglas,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
77,"Camp County Tax Assessor-Collector, Camp, TX",TX,Camp County,Pittsburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
77,"Camp County County Clerk, Camp, TX",TX,Camp County,Pittsburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
58,"Cameron Village Clerk, Barron, WI",WI,Barron County,Cameron,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
32,"Cameron Town Clerk, Wood, WI",WI,Wood County,Marshfield,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
63,"Cameron Parish Registrar of Voters, Cameron, LA",LA,Cameron Parish,Cameron,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
99,"Cameron Parish Clerk of Court, Cameron, LA",LA,Cameron Parish,Cameron,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
69,Cameron LNG,TX,Harris County,Houston,Energy,Private CI Entity,Region 6
65,"Cameron County, TX",TX,Cameron County,Brownsville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
70,"Cameron County Board of Elections, Cameron, PA",PA,Cameron County,Emporium,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 3
58,"Camden Township Election Commission, Hillsdale, MI",MI,Hillsdale County,Camden,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
71,"Camden Township Clerk, Hillsdale, MI",MI,Hillsdale County,Camden,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
50,"Camden Municipal Registrar, Knox, ME",ME,Knox County,Camden,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
50,"Camden Municipal Clerk, Knox, ME",ME,Knox County,Camden,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
11,"Camden County, New Jersey",NJ,Camden County,Camden,"Emergency Services, Government Facilities, Transportation Systems, Water and WasteWater Systems",Local Tribal Territory,Region 2
36,Camden County Municipal Utilities Authority,NJ,Camden County,Camden,Water and WasteWater Systems,Local Tribal Territory,Region 2
5,"Camden County Commissioner of Registration, Camden, NJ",NJ,Camden County,Gloucester Township,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 2
5,"Camden County Clerk, Camden, NJ",NJ,Camden County,Gloucester Township,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 2
47,"Camden County Clerk, Camden, MO",MO,Camden County,Camdenton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 7
5,"Camden County Board of Elections, Camden, NJ",NJ,Camden County,Gloucester Township,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 2
61,"Camden County Board of Elections, Camden, NC",NC,Camden County,Camden,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
64,"Camden County Board of Elections and Registrar, Camden, GA",GA,Camden County,Woodbine,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
67,"Cambridge Village Clerk, Dane/Jefferson, WI",WI,Dane County,Cambridge,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
93,"Cambridge Township Election Commission, Lenawee, MI",MI,Lenawee County,Onsted,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
93,"Cambridge Township Clerk, Lenawee, MI",MI,Lenawee County,Brooklyn,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
79,"Cambridge Town Treasurer, Lamoille, VT",VT,Lamoille County,Cambridge,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
79,"Cambridge Town Clerk, Lamoille, VT",VT,Lamoille County,Cambridge,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
51,Cambridge Police Department,MA,Middlesex County,Cambridge,Government Facilities,Local Tribal Territory,Region 1
53,"Cambridge Municipal Registrar, Somerset, ME",ME,Somerset County,Cambridge,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
53,"Cambridge Municipal Clerk, Somerset, ME",ME,Somerset County,Cambridge,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
57,"Cambridge Memorial Hospital, Inc. dba Tri Valley Health System",NE,Furnas County,Cambridge,Healthcare and Public Health,Private CI Entity,Region 7
55,Cambridge Associates ,MA,Suffolk County,Boston,Financial Services,Private CI Entity,Region 1
84,"Cambria Township Election Commission, Hillsdale, MI",MI,Hillsdale County,Hillsdale,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
68,"Cambria Township Clerk, Hillsdale, MI",MI,Hillsdale County,Hillsdale,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
42,"Cambria County Board of Elections, Cambria, PA",PA,Cambria County,Ebensburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 3
