Rating,Entity Name,State,County,City,Sector,Entity Type,Region
69,Presidio Trust (PT) - CISA,CA,San Francisco County,SF,"Commercial Facilities, Government Facilities",FCEB,Region 9
74,Pension Benefit Guaranty Corporation (PBGC) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
58,Peace Corps (PC) - CISA,DC,District of Columbia,Washington,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
62,Office of Personnel Management (OPM) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
88,Office of Navajo and Hopi Indian Relocation (ONHIR) - CISA,AZ,Coconino County,Flagstaff,Government Facilities,FCEB,Region 9
56,Office of Government Ethics (OGE) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
59,Occupational Safety and Health Review Commission (OSHRC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
70,Nuclear Waste Technical Review Board (NWTRB) - CISA,VA,Arlington County,Arlington,"Government Facilities, Nuclear Reactors Materials and Water",FCEB,Region 3
63,Nuclear Regulatory Commission (NRC) - CISA,DC,District of Columbia,Washington,"Government Facilities, Nuclear Reactors Materials and Water",FCEB,Region 3
73,National Transportation Safety Board (NTSB) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
38,National Science Foundation (NSF) - CISA,VA,Alexandria city,Alexandria,Government Facilities,FCEB,Region 3
63,National Labor Relations Board (NLRB) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
58,National Endowment for the Arts (NEA) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
67,National Credit Union Administration (NCUA) - CISA,VA,Alexandria city,Alexandria,"Financial Services, Government Facilities",FCEB,Region 3
67,National Council on Disability (NCD) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
84,National Capital Planning Commission (NCPC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
53,National Archives and Records Administration (NARA) - CISA,MD,Prince George,College Park,Government Facilities,FCEB,Region 3
61,National Aeronautics and Space Administration (NASA) - CISA,DC,District of Columbia,Washington,"Communications, Government Facilities, Information Technology, Transportation Systems",FCEB,Region 3
40,Morris K. Udall and Stewart L. Udall Foundation (UDALL) - CISA,AZ,Pima County,Tucson,Government Facilities,FCEB,Region 9
67,Millennium Challenge Corporation (MCC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
39,Merit Systems Protection Board (MSPB) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
68,Marine Mammal Commission (MMC) - CISA,MD,Montgomery County,Bethesda,"Government Facilities, Water and WasteWater Systems",FCEB,Region 3
33,Japan-U.S. Friendship Commission (JUSFC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
